source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
abc-news,ABC News,NA,Trump submits written responses to special counsel Robert Mueller - ABC News,"ABC News Trump submits written responses to special counsel Robert Mueller ABC News President Donald Trump has submitted his answers to questions from special counsel Robert Mueller, the president's attorneys told ABC News. Interested in Donald Trump? Add Don…",https://abcnews.go.com/Politics/president-trump-submits-written-responses-special-counsel-robert/story?id%3D59315316,NA,2018-11-20T21:49:43Z,NA
abc-news,ABC News,NA,Trump and his legal team met Monday to answer Mueller's questions: Sources - ABC News,"ABC News Trump and his legal team met Monday to answer Mueller's questions: Sources ABC News President Donald Trump is huddling with his lawyers this week to craft responses to list of written questions from special counsel Robert Mueller, sources close to th…",https://abcnews.go.com/Politics/trump-legal-team-met-monday-answer-muellers-questions/story?id%3D59171446,NA,2018-11-13T20:38:00Z,NA
abc-news,ABC News,NA,Roger Stone associate Jerome Corsi in plea talks with Robert Mueller - ABC News,"ABC News Roger Stone associate Jerome Corsi in plea talks with Robert Mueller ABC News Former Infowars Washington bureau chief Jerome Corsi is in plea negotiations with special counsel Robert Mueller, a source with direct knowledge tells ABC News. Interested …",https://abcnews.go.com/Politics/roger-stone-associate-jerome-corsi-plea-talks-robert/story?id%3D59378571,NA,2018-11-23T21:37:00Z,NA
abc-news,ABC News,NA,New court filings due this week could offer 'road map' to Mueller probe's next steps - ABC News,ABC News New court filings due this week could offer 'road map' to Mueller probe's next steps ABC News Members of special counsel Robert Mueller's team are expected Tuesday to describe former Lt. Gen. Michael Flynn's efforts to cooperate with their investigat…,https://abcnews.go.com/Politics/court-filings-due-week-offer-road-map-mueller/story?id%3D59591976,NA,2018-12-04T08:59:56Z,NA
abc-news,ABC News,NA,Emails about WikiLeaks publisher Julian Assange being 'mischaracterized': Roger Stone - ABC News,"ABC News Emails about WikiLeaks publisher Julian Assange being 'mischaracterized': Roger Stone ABC News President Donald Trump's longtime ally, veteran political operative Roger Stone, said his emails about WikiLeaks publisher Julian Assange during the 2016 p…",https://abcnews.go.com/Politics/emails-wikileaks-publisher-julian-assange-mischaracterized-roger-stone/story?id%3D59547161,NA,2018-12-02T14:49:35Z,NA
abc-news,ABC News,NA,"Exclusive: Ivanka Trump defends use of private email, brushes aside Mueller probe - ABC News","ABC News Exclusive: Ivanka Trump defends use of private email, brushes aside Mueller probe ABC News Ivanka Trump, the eldest daughter and a senior adviser to President Donald Trump, defended her use of a private email account while transitioning to an adminis…",https://abcnews.go.com/US/exclusive-ivanka-trump-defends-private-email-brushes-mueller/story?id%3D59455437,NA,2018-11-28T11:00:13Z,NA
abc-news,ABC News,"Katherine Faulders, John Santucci and Matthew Mosk","Tensions rising between Mueller, Manafort over level of cooperation: Sources",Talks between Special Counsel Robert Mueller and former Trump campaign chairman Paul Manafort have grown increasingly tense.,https://abcnews.go.com/Politics/tensions-rising-mueller-manafort-level-cooperation-sources/story?id=59086047,https://s.abcnews.com/images/US/start-here-04-st-jrl-181017_hpMain_16x9_992.jpg,2018-11-09T19:51:00Z,"Talks between Special Counsel Robert Mueller and former Trump campaign chairman Paul Manafort have grown increasingly tense over Manaforts apparent lack of cooperation with the investigation, according to multiple sources familiar with the matter. Interested … [+4343 chars]"
abc-news,ABC News,Alexander Mallin and Cheyenne Haslett,"Trump calls Cohen a 'liar,' says he did 'nothing wrong' in pursuing Moscow deal","President Donald Trump called Michael Cohen a ""weak person"" following news he reached a plea deal with special counsel Robert Mueller.",https://abcnews.go.com/Politics/trump-calls-cohen-liar-wrong-pursuing-project-moscow/story?id=59494189,https://s.abcnews.com/images/Politics/michael-cohen3ap-ml-181129_hpMain_16x9_992.jpg,2018-11-29T16:04:45Z,"President Donald Trump called his former personal attorney Michael Cohen a ""weak person"" shortly after news broke earlier Thursday morning that Cohen pleaded guilty to making false statements to Congress in a deal with special counsel Robert Mueller as part o… [+1087 chars]"
abc-news,ABC News,"Matthew Mosk, Lucien Bruggeman and John Santucci","Michael Cohen's admission could put Don Jr., Trump Org staff in the crosshairs","“We believe other witnesses were untruthful before our committee,” Schiff told ABC News on Thursday. “We want to share those transcripts with Mr. Mueller.”",https://abcnews.go.com/Politics/michael-cohens-moscow-project-admission-put-don-jr/story?id=59503444,https://s.abcnews.com/images/Politics/donald-trump-jr-gty-jt-180805_hpMain_16x9_992.jpg,2018-11-29T21:34:55Z,The admission by President Trumps longtime personal attorney Michael Cohen that he lied to Congress about the Trump Organizations plans to build a Trump-branded skyscraper in Moscow has brought new scrutiny upon the sworn testimony of other Trump associates i… [+4715 chars]
abc-news,ABC News,Lee Ferran,Russian firm wants to disclose 'sensitive' US government info in Mueller court fight,"A Russian firm indicted by special counsel Robert Mueller plans to ask a U.S. court to allow it to share information that the U.S. government considers ""sensitive.""",https://abcnews.go.com/Politics/russian-firm-disclose-sensitive-us-government-info-court/story?id=59444605,https://s.abcnews.com/images/Politics/doj-building-gty-ps2-181116_hpMain_2_16x9_992.jpg,2018-11-27T16:57:25Z,"A Russian consulting firm indicted by special counsel Robert Mueller plans to ask a U.S. court to allow it to share information that the U.S. government considers ""sensitive. Interested in Russia Investigation? Add Russia Investigation as an interest to stay … [+2896 chars]"
