source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
abc-news,ABC News,Phoebe Natanson,"8 people, including a teen boy, investigated for disco stampede deaths: Prosecutors",A teenager and seven other people are being investigated in the stampede deaths.,https://abcnews.go.com/International/people-including-teenage-boy-investigated-italian-disco-stampede/story?id=59726379,https://s.abcnews.com/images/International/stampede-1-ap-er-181208_hpMain_16x9_992.jpg,2018-12-10T19:50:52Z,"A teenage boy was being held in connection with the stampede at a disco in Italy that killed six people, including five children, prosecutors for the regional and minors said Monday. Seven other people were also being investigated in the incident, which occur… [+3140 chars]"
abc-news,ABC News,Guy Davies,'Your daughter should have been safe': New Zealand PM apologizes for tourist's murder,The death of a British backpacker has shocked the nation.,https://abcnews.go.com/International/daughter-safe-zealand-pm-apologizes-tourists-murder/story?id=59724969,https://s.abcnews.com/images/International/nz-pm-ardern-ap-ps-181210_hpMain_16x9_992.jpg,2018-12-10T16:20:02Z,"The prime minister of New Zealand, Jacinda Ardern, issued a heartfelt apology Monday on behalf of her country for the death of a female British tourist who was killed while backpacking in the country. Ardern opened a weekly news conference by directly address… [+4124 chars]"
abc-news,ABC News,Karma Allen,Civil rights activist once celebrated by Obama dies at 97,Rosanell Eaton died over the weekend at her home in North Carolina.,https://abcnews.go.com/US/rosanell-eaton-civil-rights-activist-celebrated-barack-obama/story?id=59720495,https://s.abcnews.com/images/US/rosanell_eaton_main_181209_hpMain_16x9_992.jpg,2018-12-10T13:18:29Z,"Rosanell Eaton, a voting rights advocate and one of the first African Americans to vote in her home state of North Carolina, died in hospice care at home over the weekend, her family said. She was 97. Eaton, once celebrated by former President Barack Obama as… [+3479 chars]"
abc-news,ABC News,"David Rind, Kelly Terez and Justin Doom","'Start Here': Cohen, Manafort, Kelly, Ebola. What you need to know to start your day.","It's Monday, Dec. 10, 2018. Here's what you need to start your day.",https://abcnews.go.com/US/start-here-court-filings-john-kellys-leaving-ebola-congo/story?id=59679969,https://s.abcnews.com/images/Politics/michael-cohen4-gty-ml-181129_hpMain_2_16x9_992.jpg,2018-12-10T10:02:34Z,"It's Monday, Dec. 10, 2018. Thanks for choosing to start here. Interested in Start Here Morning Briefing ? Add Start Here Morning Briefing as an interest to stay up to date on the latest Start Here Morning Briefing news, video, and analysis from ABC News. 1. … [+5267 chars]"
abc-news,ABC News,Karma Allen,Democrats 'have to win' in 2020: James Comey responds to recent Trump attacks,Trump posted several insulting tweets attacking Comey over the weekend.,https://abcnews.go.com/US/democrats-win-2020-james-comey-responds-recent-trump/story?id=59721282,https://s.abcnews.com/images/US/comey-gty-er-181209_hpMain_16x9_992.jpg,2018-12-10T10:40:21Z,"Former F.B.I. Director James Comey, in an interview in New York on Sunday, responded to recent criticisms from President Donald Trump, who called him dishonest and accused him of lying in a Congressional hearing last week. Comey also said Democrats ""have to w… [+3121 chars]"
abc-news,ABC News,Julia Jacobo,"'Nazi-themed' posters found on college campus, police say","A suspect believed to have posted images of Adolf Hitler and swastikas has been identified, college police said.",https://abcnews.go.com/US/nazi-themed-posters-found-suny-purchase-campus-police/story?id=59731176,https://s.abcnews.com/images/US/suny-ht-jpo-181210_hpMain_16x9_992.jpg,2018-12-10T21:00:34Z,"Posters featuring "" Nazi-themed "" images were found around the campus of the State University of New York at Purchase on Sunday, according to university police. The fliers were found in "" various spots around campus,"" Dennis Craig, officer-in-charge for the N… [+1976 chars]"
abc-news,ABC News,The Associated Press,Search begins for 4 missing at West Virginia coal mine,A West Virginia mine rescue team is searching for four people reported missing.,https://abcnews.go.com/US/wireStory/search-begins-missing-west-virginia-coal-mine-59717582,NA,2018-12-10T02:23:58Z,"A West Virginia mine rescue team is searching for four people reported missing at an underground coal mine. The state Office of Miner's Health, Safety and Training says in a news release it began assisting the Raleigh County Sheriff's Office on Sunday. The se… [+425 chars]"
abc-news,ABC News,Emily Shapiro and Will Gretsky,"5 children dead in house fire, arson not suspected","The blaze was in Youngstown, just miles from the Pennsylvania border.",https://abcnews.go.com/US/children-dead-ohio-house-fire-arson-suspected/story?id=59723560,https://s.abcnews.com/images/General/Breaking-News-banner-abc-ps-181024_hpMain_16x9_992.jpg,2018-12-10T13:12:59Z,"Five children have died following a house fire in Youngstown, Ohio, local fire officials said. Arson is not suspected in the Sunday night blaze, officials said. Youngstown is just miles from the Pennsylvania border. Additional details were not immediately ava… [+68 chars]"
abc-news,ABC News,Julia Jacobo,School district pulls assignment asking students whether Parkland shooter should die,Coral Glades High School is a mere 10-minute drive away from Marjory Stoneman Douglas High School.,https://abcnews.go.com/US/school-district-pulls-assignment-students-suspected-parkland-shooter/story?id=59718551,https://s.abcnews.com/images/US/abc_parkland_le_180427_hpMain_16x9_992.jpg,2018-12-10T03:07:11Z,Broward County Schools has pulled an assignment asking 9th graders whether they think suspected Parkland gunman Nicholas Cruz should die. Interested in Parkland school shooting? Add Parkland school shooting as an interest to stay up to date on the latest Park… [+2220 chars]
abc-news,ABC News,"Pete Madden, Katherine Faulders and Matthew Mosk","Maria Butina, accused Russian agent, appears poised to plead guilty","Maria Butina, a Russian gun rights activist, appears poised to to plead guilty in a case that has focused on her alleged attempt to develop an influence operation.",https://abcnews.go.com/Politics/maria-butina-accused-russian-agent-appears-poised-plead/story?id=59728594,https://s.abcnews.com/images/Blotter/maria-butina-ap-jpo-180717_hpMain_16x9_992.jpg,2018-12-10T16:48:44Z,"Maria Butina, a 30-year-old Russian gun rights activist, appears poised to to plead guilty in a case that has focused on her alleged attempt to develop a covert influence operation in the United States. In a joint filing to the court on Monday, Butinas attorn… [+4058 chars]"
abc-news,ABC News,Meghan Keneally,Would-be eco-terrorist corresponded with Charleston church shooter: Officials,"Comes after she also talked about an ""upscale mass murder"" at an Ohio bar.",https://abcnews.go.com/US/eco-terrorist-plotted-blow-pipeline-communicated-charleston-church/story?id=59731594,https://s.abcnews.com/images/US/elizabeth-lecron-ht-002-jpo-181210_hpMain_16x9_992.jpg,2018-12-10T21:48:14Z,"A would-be eco-terrorist tried to send Nazi material to Charleston church shooter Dylann Roof and was arrested after making what she thought were bomb materials in an effort to blow up a pipeline, according to the Department of Justice. Elizabeth Lecron, 23, … [+2700 chars]"
abc-news,ABC News,The Associated Press,Sheriff: Uncle cut 3-year-old Kentucky girl's throat - ABC News,"Sheriff: Uncle cut 3-year-old Kentucky girl's throat ABC News Emanuel Fluter, who had been living with the girl's family, has been charged. View full coverage on Google News",https://abcnews.go.com/US/wireStory/sheriff-uncle-cut-year-kentucky-girls-throat-59722159,NA,2018-12-10T11:02:00Z,"A 3-year-old girl whose uncle authorities say cut her throat has died in a Kentucky hospital. Citing a Fayette County Coroner's Office release, news outlets report Josephine Bulubenchi died Sunday evening, more than a day after she was attacked. Clinton Count… [+536 chars]"
abc-news,ABC News,Simone Miranda,Download Our ‘Candlelight Processional’-Inspired Digital Wallpaper Now,"Part of our family Christmas tradition is to attend the ""Candlelight Processional"" at Epcot. The beautiful carols and lovely reading sets the right tone for the season.",https://disneyparks.disney.go.com/blog/2018/12/download-our-candlelight-processional-inspired-digital-wallpaper-now/,https://cdn1.parksmedia.wdprapps.disney.com/media/blog/wp-content/uploads/2018/12/hrioygy57o8798607.jpg,2018-12-10T18:31:43Z,"By submitting this form, you are granting Disney Parks Blog permission to email you. You can revoke permission to mail your email address at any time using the unsubscribe link, found at the bottom of every email. We take your privacy seriously. For more info… [+493 chars]"
abc-news,ABC News,Jennifer Fickley-Baker,"Disney Doodle: Mulan & Mushu Enjoy ‘Jingle Bell, Jingle BAM!’","In our Disney Doodle series, our team of Disney artists take turns imagining what different Disney characters would do or see first if they had the chance to visit a Disney Park.",https://disneyparks.disney.go.com/blog/2018/12/disney-doodle-mulan-mushu-enjoy-jingle-bell-jingle-bam/,https://cdn1.parksmedia.wdprapps.disney.com/media/blog/wp-content/uploads/2018/12/jhcxghjfd435jkhdf.jpg,2018-12-10T14:32:38Z,"In our Disney Doodle series, our team of Disney artists take turns imagining what different Disney characters would do or see first if they had the chance to visit a Disney Park. In todays Doodle, artist Ashley Taylor envisions what Mulan and her sidekicks, M… [+352 chars]"
abc-news,ABC News,Jeremy Schoolfield,Reserve your Epcot International Festival of the Arts Workshop Experience Today,"Now, more than ever is the time to start planning your trip to the Epcot International Festival of the Arts that will run Jan. 18– Feb. 25, 2019. The 39-day event offers a palette of immersive experiences that we can guarantee you won’t want to miss!",https://disneyparks.disney.go.com/blog/2018/12/reserve-your-epcot-international-festival-of-the-arts-workshop-experience-today/,https://cdn1.parksmedia.wdprapps.disney.com/media/blog/wp-content/uploads/2018/12/ryiuhgruy987031.jpg,2018-12-10T16:45:28Z,"Now, more than ever is the time to start planning your trip to the Epcot International Festival of the Arts that will run Jan. 18 Feb. 25, 2019. The 39-day event offers a palette of immersive experiences that we can guarantee you wont want to miss! Immersing … [+3823 chars]"
