source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
abc-news,ABC News,NA,"In statement on Khashoggi murder, Trump says relationship with Saudi Arabia most important - ABC News","ABC News In statement on Khashoggi murder, Trump says relationship with Saudi Arabia most important ABC News In an extraordinary statement, President Trump on Tuesday defended Saudi Arabia in the face of mounting pressure over the slaying of Washington Post c…",https://abcnews.go.com/Politics/statement-khashoggi-murder-trump-relationship-saudi-arabia-important/story?id%3D59319462,NA,2018-11-20T19:32:00Z,NA
abc-news,ABC News,NA,Trump submits written responses to special counsel Robert Mueller - ABC News,"ABC News Trump submits written responses to special counsel Robert Mueller ABC News President Donald Trump has submitted his answers to questions from special counsel Robert Mueller, the president's attorneys told ABC News. Interested in Donald Trump? Add Don…",https://abcnews.go.com/Politics/president-trump-submits-written-responses-special-counsel-robert/story?id%3D59315316,NA,2018-11-20T21:49:43Z,NA
abc-news,ABC News,NA,US military troops to be allowed to defend border patrol agents: Official - ABC News,ABC News US military troops to be allowed to defend border patrol agents: Official ABC News The White House is set to announce on Tuesday that active duty troops deployed to the U.S.-Mexico border will be granted new authorities that allow them to protect Cus…,https://abcnews.go.com/US/us-military-troops-allowed-defend-border-patrol-agents/story?id%3D59305679,NA,2018-11-20T02:59:30Z,NA
abc-news,ABC News,The Associated Press,"1 dead, 4 injured after downtown Denver shooting - ABC News","Washington Post 1 dead, 4 injured after downtown Denver shooting ABC News One person was killed and four others were wounded in a shooting on a downtown Denver street Monday, but it was unclear what caused the violence and no one had been arrested, authoritie…",https://abcnews.go.com/US/wireStory/dead-injured-downtown-denver-shooting-59304556,NA,2018-11-20T04:33:00Z,"One person was killed and four others were wounded in a shooting on a downtown Denver street Monday, but it was unclear what caused the violence and no one had been arrested, authorities said. The shooting occurred in a neighborhood of new apartment buildings… [+1780 chars]"
abc-news,ABC News,David Rind and Kelly Terez,"'Start Here': Pelosi, Whitaker, caravan. What you need to know to start your day.","It's Tuesday, Nov. 20, 2018. Here's what you need to start your day.",https://abcnews.go.com/US/start-here-democrats-sue-whitaker-caravan-tension-tijuana-peanut/story?id=59290201,https://s.abcnews.com/images/Politics/robert-mueller-file-gty-jef-181114_hpMain_16x9_992.jpg,2018-11-20T10:15:54Z,"It's Tuesday, Nov. 20, 2018. Thanks for choosing to start here. Interested in Start Here Morning Briefing ? Add Start Here Morning Briefing as an interest to stay up to date on the latest Start Here Morning Briefing news, video, and analysis from ABC News. 1.… [+6431 chars]"
abc-news,ABC News,Elizabeth McLaughlin and Luis Martinez,US military troops to be allowed to defend border patrol agents: Official,Troops will be granted new authorities to protect border personnel from threats.,https://abcnews.go.com/US/us-military-troops-allowed-defend-border-patrol-agents/story?id=59305679,https://s.abcnews.com/images/US/troops-ap-er-181104_hpMain_2_16x9_992.jpg,2018-11-20T02:57:26Z,"The White House is set to announce on Tuesday that active duty troops deployed to the U.S.-Mexico border will be granted new authorities that allow them to protect Customs and Border Protection (CBP) personnel from a threat, according to a U.S. official. Curr… [+2463 chars]"
abc-news,ABC News,ABC News,WATCH: Ivanka Trump's personal email account under scrutiny,The Washington Post reports the first daughter violated federal record rules by using her personal email account for official government business. ABC News' Janai Norman reports.,https://abcnews.go.com/WNN/video/ivanka-trumps-personal-email-account-scrutiny-59311474,https://s.abcnews.com/images/WNN/181120_atm_norman_pic_hpMain_16x9_992.jpg,2018-11-20T12:10:09Z,"Now Playing: Ivanka Trump: The media is not the enemy of the people Now Playing: Ivanka Trump's fashion brand closes shop Now Playing: Ivanka Trump: Media not enemy of people, 'vehemently against' family separation Now Playing: Colorado man sentenced for kill… [+959 chars]"
abc-news,ABC News,Bill Hutchinson,Body found near California football stadium identified as missing 49ers fan,Ian Powers disappeared during a game on Nov. 12.,https://abcnews.go.com/US/body-found-water-california-football-stadium-identified-missing/story?id=59318068,https://s.abcnews.com/images/US/ian-powers-missing-ht-ps-181116_hpMain_16x9_992.jpg,2018-11-20T17:01:32Z,"A body found in the water near Levi's Stadium in Santa Clara, California, was identified Tuesday as a San Francisco 49ers fan who went missing during a Nov. 12 Monday Night football game, officials said. The Santa Clara County Medical Examiner positively iden… [+88 chars]"
abc-news,ABC News,The Associated Press,Trump says no new punishment for writer's murder,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/Politics/wireStory/latest-trump-punishment-writers-murder-59320113,https://s.abcnews.com/images/International/jamal-khashoggi3-ap-mo-20181021_hpMain_16x9_992.jpg,2018-11-20T18:25:19Z,The Latest on U.S. response to the murder of Saudi columnist Jamal Khashoggi (all times local): 1 p.m. President Donald Trump says the U.S. will not levy additional punitive measures at this time against Saudi Arabia over the killing of Jamal Khashoggi (jah-M… [+1482 chars]
abc-news,ABC News,Aleem Agha and Ben Gittleson,At least 40 killed in bombing of Afghan religious celebration: Officials,"A large explosion hit at a wedding hall in the capital, authorities said.",https://abcnews.go.com/International/40-killed-bombing-afghan-religious-celebration-officials/story?id=59315213,NA,2018-11-20T14:51:19Z,"A large explosion at a wedding hall in Afghanistan's capital has killed at least 40 people and injured more than 60 others, the country's health ministry said. Interested in Afghanistan? Add Afghanistan as an interest to stay up to date on the latest Afghanis… [+352 chars]"
